type,is_pyramid,units,entry_date,entry_price,exit_date,exit_price,stop_price,pnl_points,holding_hours,exit_reason,trade_id
Long,True,2.0,2025-12-18 04:00:00,4336.98,2025-12-18 12:00:00,4333.22,4287.14,-8.12,0,Signal Exit,511
Long,False,1.0,2025-12-19 00:00:00,4338.01,2025-12-19 04:00:00,4324.9,4284.99,-13.41,0,Signal Exit,512
Long,False,1.0,2025-12-19 08:00:00,4335.12,2025-12-19 12:00:00,4318.11,4298.96,-17.31,0,Signal Exit,513
Long,False,1.0,2025-12-19 16:00:00,4322.85,2025-12-20 04:00:00,4345.17,4297.47,21.27,24,Signal Exit,514
Long,False,1.0,2025-12-22 08:00:00,4355.05,2025-12-22 20:00:00,4410.43,4332.51,55.08,0,Signal Exit,515
Long,False,1.0,2025-12-23 00:00:00,4431.71,2025-12-23 16:00:00,4486.56,4409.26,54.55,0,Signal Exit,516
Long,True,2.0,2025-12-23 04:00:00,4433.49,2025-12-23 16:00:00,4486.56,4409.26,105.54,0,Signal Exit,517
Long,False,1.0,2025-12-23 20:00:00,4493.58,2025-12-24 00:00:00,4458.57,4447.18,-36.06,24,Signal Exit,518
Long,False,1.0,2025-12-24 04:00:00,4490.82,2025-12-24 12:00:00,4493.22,4427.81,2.1,0,Signal Exit,519
Long,True,2.0,2025-12-24 08:00:00,4503.41,2025-12-24 12:00:00,4493.22,4427.81,-20.98,0,Signal Exit,520
Long,False,1.0,2025-12-24 20:00:00,4491.34,2025-12-25 00:00:00,4458.49,4448.21,-33.9,24,Signal Exit,521
Long,False,1.0,2025-12-26 04:00:00,4498.82,2025-12-26 20:00:00,4509.7,4423.6,10.58,0,Signal Exit,522
Long,False,1.0,2025-12-27 00:00:00,4546.63,2025-12-27 04:00:00,4523.84,4469.09,-23.09,0,Signal Exit,523
Long,False,1.0,2025-12-29 04:00:00,4548.84,2025-12-29 08:00:00,4527.34,4478.09,-21.8,0,Signal Exit,524
Long,False,1.0,2026-01-05 12:00:00,4399.99,2026-01-05 20:00:00,4419.29,4331.79,19.0,0,Signal Exit,525
Long,False,1.0,2026-01-06 00:00:00,4448.71,2026-01-06 04:00:00,4439.84,4359.51,-9.17,0,Signal Exit,526
Long,False,1.0,2026-01-06 08:00:00,4440.68,2026-01-06 16:00:00,4458.76,4393.49,17.78,0,Signal Exit,527
Long,False,1.0,2026-01-06 20:00:00,4463.23,2026-01-07 12:00:00,4474.59,4406.07,10.31,24,Signal Exit,528
Long,True,2.0,2026-01-07 04:00:00,4481.38,2026-01-07 12:00:00,4474.59,4421.19,-14.18,0,Signal Exit,529
Long,False,1.0,2026-01-08 04:00:00,4456.84,2026-01-08 12:00:00,4440.39,4391.79,-16.75,0,Signal Exit,530
Long,False,1.0,2026-01-09 00:00:00,4454.21,2026-01-09 04:00:00,4452.22,4378.46,-2.29,0,Signal Exit,531
Long,False,1.0,2026-01-09 08:00:00,4475.58,2026-01-09 12:00:00,4464.11,4416.93,-11.77,0,Signal Exit,532
Long,False,1.0,2026-01-09 16:00:00,4470.39,2026-01-10 04:00:00,4499.23,4430.19,27.79,24,Signal Exit,533
Long,False,1.0,2026-01-12 04:00:00,4521.41,2026-01-12 20:00:00,4584.96,4481.46,63.25,0,Signal Exit,534
Long,False,1.0,2026-01-13 00:00:00,4620.82,2026-01-13 04:00:00,4611.25,4545.58,-9.87,0,Signal Exit,535
Long,False,1.0,2026-01-13 20:00:00,4588.53,2026-01-14 04:00:00,4597.46,4542.87,7.88,24,Signal Exit,536
Long,True,1.0,2026-01-14 00:00:00,4619.09,2026-01-14 04:00:00,4597.46,4542.87,-21.93,0,Signal Exit,537
Long,False,1.0,2026-01-14 12:00:00,4628.26,2026-01-14 20:00:00,4630.22,4563.43,1.66,0,Signal Exit,538
Long,False,1.0,2026-01-15 04:00:00,4639.36,2026-01-15 08:00:00,4615.35,4566.01,-24.31,0,Signal Exit,539
Long,False,1.0,2026-01-15 16:00:00,4601.37,2026-01-16 00:00:00,4615.37,4548.03,12.95,24,Signal Exit,540
Long,True,2.0,2026-01-15 20:00:00,4619.06,2026-01-16 00:00:00,4615.37,4548.03,-9.48,24,Signal Exit,541
Long,False,1.0,2026-01-16 04:00:00,4615.7,2026-01-16 08:00:00,4610.17,4548.37,-5.83,0,Signal Exit,542
Long,False,1.0,2026-01-16 16:00:00,4607.06,2026-01-17 00:00:00,4571.13,4561.88,-36.98,24,Signal Exit,543
Long,False,1.0,2026-01-19 08:00:00,4672.53,2026-01-19 12:00:00,4658.55,4544.94,-14.28,0,Signal Exit,544
Long,False,1.0,2026-01-20 00:00:00,4674.32,2026-01-20 04:00:00,4675.1,4627.67,0.48,0,Signal Exit,545
Long,False,1.0,2026-01-20 12:00:00,4680.2,2026-01-22 00:00:00,4848.36,4739.65,166.36,48,Signal Exit,546
